"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2025","226.75","227.00","227.05","224.72","9.12M","-0.18%"
"08/25/2025","227.16","226.48","229.30","226.23","30.98M","-0.26%"
"08/22/2025","227.76","226.17","229.09","225.41","42.48M","1.27%"
"08/21/2025","224.90","226.27","226.52","223.78","30.62M","-0.49%"
"08/20/2025","226.01","229.98","230.47","225.77","42.26M","-1.97%"
"08/19/2025","230.56","231.27","232.87","229.35","39.40M","-0.14%"
"08/18/2025","230.89","231.70","233.12","230.11","37.48M","-0.30%"
"08/15/2025","231.59","234.00","234.28","229.34","56.04M","-0.51%"
"08/14/2025","232.78","234.05","235.12","230.85","51.92M","-0.24%"
"08/13/2025","233.33","231.07","235.00","230.43","69.88M","1.60%"
"08/12/2025","229.65","228.01","230.80","227.07","55.67M","1.09%"
"08/11/2025","227.18","227.92","229.56","224.76","61.81M","-0.95%"
"08/08/2025","229.35","220.83","231.00","219.25","113.85M","4.24%"
"08/07/2025","220.03","218.88","220.85","216.58","90.22M","3.18%"
"08/06/2025","213.25","205.63","215.38","205.59","108.48M","5.09%"
"08/05/2025","202.92","203.40","205.34","202.16","44.16M","-0.21%"
"08/04/2025","203.35","204.51","207.88","201.68","75.11M","0.48%"
"08/01/2025","202.38","210.87","213.58","201.50","104.43M","-2.50%"
"07/31/2025","207.57","208.49","209.84","207.16","80.70M","-0.71%"
"07/30/2025","209.05","211.90","212.39","207.72","45.51M","-1.05%"
"07/29/2025","211.27","214.18","214.81","210.82","51.41M","-1.30%"
"07/28/2025","214.05","214.03","214.85","213.06","37.86M","0.08%"
