"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2025","9.325","9.540","9.595","9.285","2.58M","-2.15%"
"08/25/2025","9.530","9.200","9.690","9.200","11.21M","2.58%"
"08/22/2025","9.290","8.540","9.320","8.540","11.15M","9.42%"
"08/21/2025","8.490","8.200","8.540","8.122","7.56M","2.54%"
"08/20/2025","8.280","8.380","8.410","8.163","6.22M","-1.08%"
"08/19/2025","8.370","8.770","8.880","8.340","7.72M","-4.34%"
"08/18/2025","8.750","8.770","8.930","8.690","7.60M","-0.34%"
"08/15/2025","8.780","8.850","8.970","8.725","6.60M","0.23%"
"08/14/2025","8.760","8.610","8.840","8.570","5.10M","-0.90%"
"08/13/2025","8.840","8.530","8.875","8.500","10.67M","4.37%"
"08/12/2025","8.470","8.320","8.480","8.255","7.11M","2.29%"
"08/11/2025","8.280","8.190","8.440","8.180","6.70M","1.60%"
"08/08/2025","8.150","8.280","8.280","8.045","5.03M","-0.73%"
"08/07/2025","8.210","8.280","8.320","8.070","6.19M","-0.36%"
"08/06/2025","8.240","8.210","8.360","8.180","6.66M","-0.12%"
"08/05/2025","8.250","8.230","8.320","8.080","10.10M","0.12%"
"08/04/2025","8.240","7.820","8.330","7.785","9.46M","5.37%"
"08/01/2025","7.820","7.670","8.050","7.585","14.82M","-1.51%"
"07/31/2025","7.940","7.160","7.980","6.930","18.97M","9.82%"
"07/30/2025","7.230","7.400","7.485","7.230","9.42M","-1.90%"
"07/29/2025","7.370","7.370","7.510","7.270","8.24M","0.27%"
"07/28/2025","7.350","7.240","7.360","7.175","4.63M","1.80%"
"07/25/2025","7.220","7.140","7.230","7.010","5.14M","1.26%"
"07/24/2025","7.130","7.175","7.305","7.130","7.12M","-1.66%"
"07/23/2025","7.250","7.300","7.337","7.205","5.38M","-0.68%"
"07/22/2025","7.300","7.020","7.390","6.970","9.15M","5.04%"
"07/21/2025","6.950","6.780","7.020","6.780","8.19M","4.04%"
"07/18/2025","6.680","6.630","6.775","6.580","5.35M","1.67%"
"07/17/2025","6.570","6.580","6.750","6.510","5.10M","-0.15%"
"07/16/2025","6.580","6.560","6.620","6.485","4.68M","1.54%"
"07/15/2025","6.480","6.640","6.706","6.460","4.85M","-2.85%"
"07/14/2025","6.670","6.490","6.700","6.490","6.06M","2.14%"
"07/11/2025","6.530","6.690","6.710","6.470","6.63M","-3.40%"
"07/10/2025","6.760","6.530","6.770","6.520","7.50M","2.42%"
"07/09/2025","6.600","6.330","6.640","6.220","8.87M","4.93%"
"07/08/2025","6.290","6.190","6.310","6.150","7.70M","2.28%"
"07/07/2025","6.150","6.310","6.320","6.120","6.96M","-4.21%"
"07/03/2025","6.420","6.360","6.475","6.360","2.13M","1.42%"
"07/02/2025","6.330","6.280","6.365","6.220","8.78M","-0.16%"
"07/01/2025","6.340","6.240","6.430","6.090","8.71M","0.96%"
"06/30/2025","6.280","6.570","6.580","6.220","6.95M","-2.03%"
"06/27/2025","6.410","6.330","6.420","6.270","21.09M","1.58%"
"06/26/2025","6.310","6.320","6.374","6.120","6.05M","0.48%"
"06/25/2025","6.280","6.400","6.470","6.270","7.29M","-2.48%"
"06/24/2025","6.440","6.300","6.470","6.210","5.53M","3.04%"
"06/23/2025","6.250","6.060","6.280","5.980","6.32M","2.12%"
"06/20/2025","6.120","5.960","6.220","5.930","15.42M","3.55%"
"06/18/2025","5.910","5.990","6.070","5.870","8.20M","-1.01%"
"06/17/2025","5.970","6.260","6.279","5.900","7.71M","-4.78%"
"06/16/2025","6.270","6.330","6.450","6.225","4.26M","0.64%"
"06/13/2025","6.230","6.280","6.430","6.190","4.57M","-2.81%"
"06/12/2025","6.410","6.490","6.520","6.315","7.40M","-1.54%"
"06/11/2025","6.510","6.400","6.580","6.380","6.71M","2.68%"
"06/10/2025","6.340","6.190","6.395","6.175","6.72M","2.92%"
"06/09/2025","6.160","6.330","6.370","6.110","5.67M","-2.07%"
"06/06/2025","6.290","6.180","6.340","6.065","6.95M","2.11%"
"06/05/2025","6.160","6.180","6.450","6.113","7.02M","-0.32%"
"06/04/2025","6.180","6.060","6.240","6.060","4.90M","1.98%"
"06/03/2025","6.060","5.860","6.070","5.695","7.21M","3.77%"
"06/02/2025","5.840","5.850","5.930","5.785","4.51M","-1.18%"
"05/30/2025","5.910","5.850","5.990","5.770","8.56M","1.03%"
"05/29/2025","5.850","5.900","6.040","5.805","6.67M","0.52%"
"05/28/2025","5.820","5.950","5.952","5.800","4.14M","-2.68%"
"05/27/2025","5.980","6.080","6.090","5.800","9.95M","0.17%"
"05/23/2025","5.970","5.730","6.000","5.730","6.04M","1.88%"
"05/22/2025","5.860","5.780","5.930","5.655","6.82M","1.03%"
"05/21/2025","5.800","5.990","6.040","5.700","7.02M","-4.61%"
"05/20/2025","6.080","6.210","6.220","6.050","4.59M","-2.41%"
"05/19/2025","6.230","6.120","6.230","6.070","5.79M","-0.95%"
"05/16/2025","6.290","6.070","6.365","6.070","7.23M","2.95%"
"05/15/2025","6.110","6.370","6.380","5.990","7.30M","-3.63%"
"05/14/2025","6.340","6.410","6.505","6.260","6.97M","-1.86%"
"05/13/2025","6.460","6.470","6.570","6.220","9.40M","-0.15%"
"05/12/2025","6.470","6.540","6.545","6.200","10.47M","3.52%"
"05/09/2025","6.250","6.700","7.170","6.240","30.81M","-19.15%"
"05/08/2025","7.730","7.700","7.840","7.490","15.64M","1.05%"
